bandnumber,species,sex,wing,weight,hallux,tail,maturity
872-09620,Sharp-shinned,M,171.0,100.0,11.5,134,Infant
872-09621,Sharp-shinned,M,172.0,105.0,10.8,125,Infant
872-09631,Sharp-shinned,M,160.0,92.0,11.0,132,Infant
872-09633,Sharp-shinned,M,164.0,98.0,11.4,136,Infant
872-09634,Sharp-shinned,M,163.0,100.0,11.2,137,Infant
872-09638,Sharp-shinned,M,260.0,550.0,11.2,215,Infant
872-09639,Sharp-shinned,M,370.0,1094.0,11.5,221,Infant
872-09640,Sharp-shinned,M,168.0,102.0,11.9,138,Infant
872-09641,Sharp-shinned,M,170.0,113.0,11.1,139,Infant
872-09646,Sharp-shinned,M,168.0,105.0,11.0,143,Infant
877-76317,Red-tailed,F,385.0,920.0,30.1,219,Infant
877-76318,Red-tailed,,376.0,930.0,,221,Infant
877-76319,Red-tailed,M,381.0,990.0,31.3,235,Infant
877-76320,Red-tailed,M,370.0,960.0,30.1,212,Infant
877-76321,Red-tailed,F,375.0,855.0,30.0,243,
877-76322,Red-tailed,M,412.0,1210.0,31.3,210,
877-76323,Red-tailed,M,393.0,1010.0,30.8,222,Infant
877-76324,Red-tailed,F,371.0,1010.0,29.7,217,Infant
877-76325,Red-tailed,M,390.0,1120.0,30.9,213,
877-76326,Red-tailed,M,418.0,1150.0,31.0,238,Infant
877-76327,Red-tailed,F,381.0,950.0,28.9,202,
877-76328,Red-tailed,M,378.0,910.0,28.2,227,Infant
877-76329,Red-tailed,F,396.0,1010.0,26.9,227,Infant
877-76330,Red-tailed,M,399.0,1070.0,31.2,222,Infant
877-76331,Red-tailed,F,416.0,1190.0,31.6,237,Infant
877-76332,Red-tailed,M,415.0,101.0,30.7,238,Infant
877-76333,Red-tailed,F,392.0,1330.0,30.3,213,
877-76334,Red-tailed,M,380.0,990.0,30.0,211,Infant
877-76335,Red-tailed,F,399.0,1100.0,32.5,190,Infant
877-76336,Red-tailed,M,362.0,820.0,27.9,209,Infant
877-76337,Red-tailed,M,378.0,1490.0,31.3,204,
877-76339,Red-tailed,F,384.0,1060.0,31.2,230,Infant
877-76340,Red-tailed,M,382.0,1140.0,29.4,227,Infant
877-76341,Red-tailed,F,390.0,1030.0,30.3,208,Infant
877-76342,Red-tailed,M,390.0,1000.0,28.3,231,Infant
877-76344,Red-tailed,F,393.0,1050.0,29.8,222,Infant
877-76345,Red-tailed,M,378.0,1040.0,31.2,225,Infant
877-76346,Red-tailed,F,398.0,1110.0,30.9,225,Infant
877-76347,Red-tailed,M,412.0,1300.0,31.55,233,Infant
877-76348,Red-tailed,F,400.0,980.0,29.3,214,Infant
877-76349,Red-tailed,M,422.0,1120.0,28.3,233,Infant
877-76350,Red-tailed,M,394.0,1270.0,31.6,245,Infant
877-76351,Red-tailed,F,37.2,1180.0,26.65,210,Infant
877-76353,Red-tailed,M,326.0,,27.7,215,Infant
877-76354,Red-tailed,M,416.0,1300.0,32.7,235,Infant
877-76355,Red-tailed,M,390.0,1080.0,29.1,209,
877-76357,Red-tailed,F,391.0,1130.0,29.4,212,
877-76358,Red-tailed,M,387.0,1160.0,31.0,209,
877-76359,Red-tailed,M,435.0,1385.0,30.6,235,
877-76360,Red-tailed,F,400.0,1210.0,28.6,222,
877-76361,Red-tailed,F,395.0,1180.0,28.9,210,Infant
877-76362,Red-tailed,M,410.0,1500.0,33.2,239,Infant
877-76379,Red-tailed,M,385.0,985.0,30.8,223,Infant
877-76380,Red-tailed,M,398.0,1020.0,31.1,217,Infant
877-76552,Red-tailed,M,380.0,760.0,26.1,212,Infant
8777-63481,Red-tailed,M,382.0,1020.0,29.4,225,
8777-6382,Red-tailed,F,363.0,1015.0,30.1,242,Infant
9387-92182,Red-tailed,F,382.0,1080.0,31.0,214,Infant
972-04635,Sharp-shinned,M,165.0,98.0,11.4,138,Infant
972-09622,Sharp-shinned,M,179.0,105.0,11.3,131,Infant
972-09636,Sharp-shinned,M,162.0,,,130,Infant
987-53707,Red-tailed,M,371.0,1080.0,27.2,198,
